station_code,station_name,latitude,longitude
CCH,Cheung Chau,22.20111,114.02667
CPH,Ching Pak House(Tsing Yi),22.34806,114.10917
HKA,Hong Kong International Airport,22.30944,113.92194
HKO,Hong Kong Observatory,22.30194,114.17417
JKB,Tseung Kwan O,22.31583,114.25556
KP,King's Park,22.31194,114.17278
KSC,Kau Sai Chau,22.37028,114.3125
LFS,Lau Fau Shan,22.46889,113.98361
PEN,Peng Chau,22.29111,114.04333
PLC,Tai Mei Tuk,22.47528,114.2375
SE,Kai Tak,22.30972,114.21333
SEK,Shek Kong,22.43611,114.08472
SHA,Sha Tin,22.4025,114.21
SKW,Shau Kei Wan,22.28167,114.23611
SSH,Sheung Shui,22.50194,114.11111
SSP,Sham Shui Po,22.33583,114.13694
TC,Tate's Cairn,22.35778,114.21778
TKL,Ta Kwu Ling,22.52861,114.15667
TMS,Tai Mo Shan,22.41056,114.12444
TU1,Tuen Mun Children and Juvenile Home,22.38583,113.96417
TWN,Tsuen Wan,22.38361,114.10778
TYW,Pak Tam Chung (Tsak Yue Wu),22.40278,114.32306
VP1,The Peak,22.26417,114.155
WGL,Waglan Island,22.18306,114.30278
WLP,Wetland Park,22.46667,114.00889
